,Daftar,Poem,Beyt,Mesra1,Mesra2
1462,1,71,15,چشم آدم کو به نور پاك دید,"جان و سر نامها گشتش پدید
"
1463,1,71,16,چون ملك انوار حق از وی بیافت,"در سجود افتاد و در خدمت شتافت 
"
1464,1,71,17,مدح این آدم كه نامش می برم,"گر ستایم تا قیامت قاصرم 
"
1465,1,71,18,این همه دانست و چون آمد قضا,"دانش یك نهی شد بر وی غطا
"
1466,1,71,19,كای عجب نهی از پی تحریم بود,"یا به تأویلی بد و توهیم بود
"
1467,1,71,20,در دلش تأویل چون ترجیح یافت,"طبع در حیرت سوی گندم شتافت 
"
1468,1,71,21,باغبان را خار چون در پای رفت,"دزد فرصت یافت، كالا برد تفت 
"
1469,1,71,22,چون ز حیرت رست و باز آمد به راه,"دید برده دزد رخت از كارگاه 
"
1470,1,71,23,ربنا إنا ظلمنا گفت و آه,"یعنی آمد ظلمت و گم گشت راه 
"
1471,1,71,24,این قضا ابری بود خورشید پوش,"شیر و اژدرها شود زو همچو موش 
"
1472,1,71,25,من اگر دامی نبینم گاه حكم,"من نه تنها جاهلم در راه حكم 
"
1473,1,71,26,ای خنك آن كاو نكو كاری گرفت,"زور را بگذاشت و زاری گرفت 
"
1474,1,71,27,گر قضا پوشد سیه همچون شبت,"هم قضا دستت بگیرد عاقبت 
"
1475,1,71,28,گر قضا صد بار قصد جان كند,"هم قضا جانت دهد درمان كند
"
1476,1,71,29,این قضا صد بار اگر راهت زند,"بر فراز چرخ خرگاهت زند
"
1477,1,71,30,از كرم دان آن كه می ترساندت,"تا به ملك ایمنی بنشاندت 
"
1478,1,71,31,* چون بترساند ترا آگه شوی,"ور نترساند ترا گمره شوی 
"
1479,1,71,32,این سخن پایان ندارد گشت دیر,"گوش كن تو قصۀ خرگوش و شیر
"
1480,1,72,1,شیر با خرگوش چون همراه شد,"پر غضب، پر کینه و بدخواه شد
"
1481,1,72,2,* بود پیشاپیش خرگوش دلیر,"ناگهان پا واکشید از پیش شیر 
"
1482,1,72,3,چونكه نزد چاه آمد، شیر دید,"كز ره آن خرگوش ماند و، پا كشید
"
1483,1,72,4,گفت: پا واپس كشیدی تو چرا؟,"پای را واپس مكش، پیش اندر آ
"
1484,1,72,5,گفت: كو پایم؟ كه دست و پای رفت,"جان من لرزید و، دل از جای رفت 
"
1485,1,72,6,رنگ رویم را نمی بینی چو زر؟,"ز اندرون، خود میدهد رنگم خبر
"
1486,1,72,7,حق چو سیما را معرف خوانده است,"چشم عارف سوی سیما مانده است 
"
1487,1,72,8,رنگ و بو غماز آمد چون جرس,"از فرس آگه كند بانگ فرس 
"
1488,1,72,9,بانگ هر چیزی رساند زو خبر,"تا بدانی بانگ خر از بانگ در
"
1489,1,72,10,گفت پیغمبر به تمییز كسان,"مرء مخفی لدی طی اللسان 
"
1490,1,72,11,رنگ رو از حال دل دارد نشان,"رحمتم كن مهر من در دل نشان 
"
1491,1,72,12,رنگ روی سرخ دارد بانگ شكر,"رنگ روی زرد دارد صبر و نكر
"
1492,1,72,13,در من آمد آنچه در وی گشت مات,"آدمی و جانور جامد نبات 
"
1493,1,72,14,در من آمد آن كه دست و پا برد,"رنگ رو و قوتِ سیما برد
"
1494,1,72,15,آن كه در هر چه در آید بشكند,"هر درخت از بیخ و از بن بر كند
"
1495,1,72,16,این خود اجزایند كلیات از او,"زرد كرده رنگ و فاسد كرده بو
"
1496,1,72,17,تا جهان گه صابر است و گه شكور,"بوستان گه حله پوشد گاه عور
"
1497,1,72,18,آفتابی كاو بر آید نارگون,"ساعتی دیگر شود او سر نگون 
"
1498,1,72,19,اخترانی تافته بر چار طاق,"لحظه لحظه مبتلای احتراق 
"
1499,1,72,20,ماه كاو افزود ز اختر در جمال,"شد ز رنج دق او همچون خیال 
"
1500,1,72,21,این زمین با سكون با ادب,"اندر آرد زلزله اش در لرز تب 
"
1501,1,72,22,ای بسا كه زین بلای مرده ریگ,"گشته است اندر جهان او خرده ریگ 
"
1502,1,72,23,این هوا با روح آمد مقترن,"چون قضا آید وبا گشت و عفن 
"
1503,1,72,24,آب خوش كاو روح را همشیره شد,"در غدیری زرد و تلخ و تیره شد
"
1504,1,72,25,آتشی كاو باد دارد در بروت,"هم یكی بادی بر او خواند یموت 
"
1505,1,72,26,خاک کو شد مایه گل در بهار,"ناگهان بادی بر آرد زو دمار
"
1506,1,72,27,حال دریا ز اضطراب و جوش او,"فهم كن تبدیلهای هوش او
"
1507,1,72,28,چرخ سر گردان كه اندر جستجوست,"حال او چون حال فرزندان اوست 
"
1508,1,72,29,گه حضیض و گه میانه گاه اوج,"اندر او از سعد و نحسی فوج فوج 
"
1509,1,72,30,* گه شرف گاهی صعود و گه فرح,"گه وبال و گه هبوط و گه ترح 
"
1510,1,72,31,از خود ای جزوی ز كلها مختلط,"فهم می كن حالت هر منبسط
"
1511,1,72,32,* چون نصیب مهتران در دست و رنج,"کهتران را کی تواند بود گنج 
"
1512,1,72,33,چون كه كلیات را رنج است و درد,"جزو ایشان چون نباشد روی زرد
"
1513,1,72,34,خاصه جزوی كاو ز اضداد است جمع,"ز آب و خاك و آتش و باد است جمع 
"
1514,1,72,35,این عجب نبود كه میش از گرگ جست,"این عجب كه میش دل در گرگ بست 
"
1515,1,72,36,زندگانی آشتی ضدهاست,"مرگ آن كاندر میانشان جنگ خاست 
"
1516,1,72,37,* صلح اضداد است این عمر جهان,"جنگ اضداد است عمر جاودان 
"
1517,1,72,38,* زندگانی آشتی دشمنان,"مرگ وارفتن به اصل خویش دان 
"
1518,1,72,39,* صلح دشمن دار باشد عاریت,"دل بسوی جنگ دارد عاقبت 
"
1519,1,72,40,* روزکی چند از برای مصلحت,"باهمند اندر وفا و مرحمت 
"
1520,1,72,41,* عاقبت هر یک بجوهر باز گشت,"هر یکی با جنس خود انباز گشت 
"
1521,1,72,42,* لطف باری این پلنگ و رنگ را,"الف داد و برد از ایشان جنگ را 
"
1522,1,72,43,لطف حق این شیر را و گور را,"الف داده ست این دو ضد دور را
"
1523,1,72,44,چون جهان رنجور و زندانی بود,"چه عجب رنجور اگر فانی بود
"
1524,1,72,45,خواند بر شیر او از این رو پندها,"گفت من پس مانده ام زین بندها
"
1525,1,73,1,شیر گفتش تو ز اسباب مرض,"این سبب گو خاص كه این استم غرض
"
1526,1,73,2,پای را واپس کشیدی تو چرا,"میدهی بازیچه واهی مرا 
"
1527,1,73,3,گفت آن شیر، اندر این چه ساكن است,"اندر این قلعه ز آفات ایمن است 
"
1528,1,73,4,یار من بستد ز من در چاه برد,"برگرفتش از ره و بیراه برد
"
1529,1,73,5,قعر چه بگزید هر كو عاقل است,"ز آن كه در خلوت صفاهای دل است 
"
1530,1,73,6,ظلمت چه به كه ظلمتهای خلق,"سر نبرد آن كس كه گیرد پای خلق 
"
1531,1,73,7,گفت پیش آ زخمم او را قاهر است,"تو ببین كان شیر در چَه حاضر است 
"
1532,1,73,8,گفت من سوزیده ام ز آن آتشی,"تو مگر اندر بر خویشم كشی 
"
1533,1,73,9,تا بپشتی تو ای كان كرم,"چشم بگشایم به چه در بنگرم
"
1534,1,73,10,من به پشتی تو تانم آمدن,"تو نگه دارم در آن چه بی رسن 
"
1535,1,73,11,چون كه شیر اندر بر خویشش كشید,"در پناه شیر تا چه می دوید
"
1536,1,73,12,چون كه در چه بنگریدند اندر آب,"اندر آب از شیر و او در تافت تاب 
"
1537,1,73,13,شیر عكس خویش دید از آب تفت,"شكل شیری در برش خرگوش زفت 
"
1538,1,73,14,چون كه خصم خویش را در آب دید,"مر و را بگذاشت واندر چه جهید
"
1539,1,73,15,در فتاد اندر چهی كاو كنده بود,"ز آن كه ظلمش بر سرش آینده بود
"
1540,1,73,16,چاه مظلم گشت ظلم ظالمان,"این چنین گفتند جمله عالمان 
"
1541,1,73,17,هر كه ظالمتر چهش با هول تر,"عدل فرموده ست بدتر را بتر
"
1542,1,73,18,ای كه تو از ظلم چاهی می كنی,"از برای خویش دامی می تنی 
"
1543,1,73,19,* بر ضعیفان گر تو ظلمی میکنی,"دان که اندر قعر چاه بی بُنی 
"
1544,1,73,20,گرد خود چون كرم، پیله بر متن,"بهر خود چه می كنی، اندازه كن 
"
1545,1,73,21,مر ضعیفان را تو بی خصمی مدان,"از نبی اِذ جاء نصر الله بخوان 
"
1546,1,73,22,گر تو پیلی خصم تو از تو رمید,"نك جزا طیراً ابابیلت رسید
"
1547,1,73,23,گر ضعیفی در زمین خواهد امان,"غلغل افتد در سپاه آسمان 
"
1548,1,73,24,گر به دندانش گزی پر خون كنی,"درد دندانت بگیرد چون كنی 
"
1549,1,73,25,شیر خود را دید در چه وز غلوّ,"خویش را نشناخت آن دم از عدوّ
"
1550,1,73,26,عكس خود را او عدوی خویش دید,"لا جرم بر خویش شمشیری كشید
"
1551,1,73,27,ای بسا ظلمی كه بینی در كسان,"خوی تو باشد در ایشان ای فلان 
"
1552,1,73,28,اندر ایشان تافته هستی تو,"از نفاق و ظلم و بد مستی تو
"
1553,1,73,29,آن تویی و آن زخم بر خود می زنی,"بر خود آن دم تار لعنت می تنی 
"
1554,1,73,30,در خود آن بد را نمی بینی عیان,"ور نه دشمن بوده ای خود را به جان 
"
1555,1,73,31,حمله بر خود می كنی ای ساده مرد,"همچو آن شیری كه بر خود حمله كرد
"
1556,1,73,32,چون به قعر خوی خود اندر رسی,"پس بدانی كز تو بود آن ناكسی 
"
1557,1,73,33,شیر را در قعر پیدا شد كه بود,"نقش او آن كش دگر كس می نمود
"
1558,1,73,34,هر كه دندان ضعیفی می كند,"كار آن شیر غلط بین می كند
"
1559,1,73,35,ای بدیده خال بد بر روی عم,"عکس خال توست آن از عم مَرَم 
"
1560,1,73,36,مومنان آیینۀ یکدیگرند,"این خبر می از پیمبر آورند
"
1561,1,73,37,پیش چشمت داشتی شیشۀ كبود,"ز آن سبب عالم كبودت می نمود
"
1562,1,73,38,گر نه كوری این كبودی دان ز خویش,"خویش را بد گو، مگو كس را تو بیش 
"
1563,1,73,39,مومن ار ینظر بنور الله نبود,"عیب، مومن را برهنه چون نمود؟
"
1564,1,73,40,چون كه تو ینظر بنار الله بدی,"نیکوئی را وا ندیدی از بدی 
"
1565,1,73,41,اندك اندك نور را بر نار زن,"تا شود نار تو نور ای بو الحزن 
"
1566,1,73,42,تو بزن یا ربنا آب طهور,"تا شود این نار عالم جمله نور
"
1567,1,73,43,آب دریا جمله در فرمان توست,"آب و آتش ای خداوند، آن ِ توست 
"
1568,1,73,44,گر تو خواهی آتش آب خوش شود,"ور نخواهی آب هم آتش شود
"
1569,1,73,45,بی طلب تو این طلب مان داده ای,"بی شمار و حد عطا بنهاده ای 
"
1570,1,73,46,* با طلب چون ندهی؟ ای حیّ ودود,"کز تو آمد جملگی جود و وجود 
"
1571,1,73,47,* در عدم کی بود ما را خود طلب ؟,"بی سبب کردی عطاهای عجب 
"
1572,1,73,48,* جان و نان دادی و عمر جاودان,"سایر نعمت که ناید در بیان 
"
1573,1,73,49,این طلب در ما هم از ایجاد توست,"رستن از بیداد یا رب، داد توست 
"
1574,1,73,50,* بی طلب هم میدهی گنج نهان ,"رایگان بخشیده ای جان جهان 
"
1575,1,73,51,* هکذا انعم الی دار السلام,"بالنبی المصطفی خیر الانام 
"
1576,1,74,1,چون كه خرگوش از رهایی شاد گشت,"سوی نخجیران دوان شد تا به دشت 
"
1577,1,74,2,* شیر را چون دید محو ظلم خویش,"سوی قوم خود دوید او پیش پیش 
"
1578,1,74,3,* شیر را چون دید کشته ظلم خَود,"میدوید او شادمان و با رَشد 
"
1579,1,74,4,شیر را چون دید در چه كشته زار,"چرخ می زد شادمان تا مرغزار
"
1580,1,74,5,دست می زد چون رهید از دست مرگ,"سبز و رقصان در هوا چون شاخ و برگ 
"
1581,1,74,6,شاخ و برگ از حبس خاك آزاد شد,"سر بر آورد و حریف باد شد
"
1582,1,74,7,برگها چون شاخ را بشكافتند,"تا به بالای درخت اشتافتند
"
1583,1,74,8,با زبان شطأ َهُ  شكر خدا,"می سراید هر بر و برگی جدا
"
1584,1,74,9,* بی زبان هر بار و برگ و شاخها,"میسراید ذکر و تسبیح خدا 
"
1585,1,74,10,كه بپرورد اصل ما را ذو العطا,"تا درخت استغلظ آمد فاستوی 
"
1586,1,74,11,جانهای بسته اندر آب و گل,"چون رهند از آب و گلها شاد دل 
"
1587,1,74,12,در هوای عشق حق رقصان شوند,"همچو قرص بدر بی نقصان شوند
"
1588,1,74,13,جسمشان در رقص و جانها خود مپرس,"و آن كه گردد جان از آنها خود مپرس 
"
1589,1,74,14,شیر را خرگوش در زندان نشاند,"ننگ شیری، كو ز خرگوشی بماند
"
1590,1,74,15,در چنین ننگی و آن گه این عجب,"فخر دین خواهد كه گویندش لقب 
"
1591,1,74,16,ای تو شیری در تك این چاه دهر,"نفس چون خرگوش تو،کشتت به قهر
"
1592,1,74,17,نفس خرگوشت به صحرا در چرا,"تو به قعر این چه چون و چرا
"
1593,1,74,18,سوی نخجیران دوید آن شیر گیر,"كابشروا یا قوم إذ جاء البشیر
"
1594,1,74,19,مژده مژده ای گروه عیش ساز,"كان سگ دوزخ به دوزخ رفت باز
"
1595,1,74,20,مژده مژده كان عدوی جانها,"كند قهر خالقش دندانها
"
1596,1,74,21,* مژده مژده کز قضا ظالم بچاه,"اوفتاد از عدل و لطف پادشاه 
"
1597,1,74,22,آن كه از پنجه بسی سرها بكوفت,"همچو خس جاروب مرگش هم بروفت
"
1598,1,74,23,* آن که جز ظلمش دگر کاری نبود,"آه مظلومش گرفت و کوفت زود 
"
1599,1,74,24,گردنش بشکست و مغزش بر درید,"جان ما از قید محنت وارهید
"
1600,1,74,25,* گم شد و نابود شد از فضل حق,"بر مهم دشمن شما را شد سبق 
"
1601,1,75,1,جمع گشتند آن زمان جمله وحوش,"شاد و خندان وز طرب در ذوق و جوش 
"
1602,1,75,2,حلقه كردند او چو شمعی در میان,"سجده کردندش همه صحرائیان 
"
1603,1,75,3,تو فرشتۀ آسمانی یا پری,"نی تو عزراییل شیران نری 
"
1604,1,75,4,هر چه هستی جان ما قربان توست,"دست بردی دست و بازویت درست 
"
1605,1,75,5,راند حق این آب را در جوی تو,"آفرین بر دست و بر بازوی تو
"
1606,1,75,6,باز گو تا قصه درمانها شود,"باز گو تا مرهم جانها شود
"
1607,1,75,7,باز گو تا چون سگالیدی به مكر,"آن عوان را چون بمالیدی به مكر
"
1608,1,75,8,باز گو كز ظلم آن استم نما,"صد هزاران زخم دارد جان ما
"
1609,1,75,9,باز گو آن قصه کان شادی فزاست,"روح ما را قوت و دلرا دواست
"
1610,1,75,10,گفت تائید خدا بود ای مهان,"ور نه خرگوشی كه باشد در جهان 
"
1611,1,75,11,قوتم بخشید و دل را نور داد,"نور دل مر دست و پا را زور داد
"
1612,1,75,12,از بر حق می رسد تفضیلها,"باز هم از حق رسد تبدیلها
"
1613,1,75,13,حق به دور و نوبت این تایید را,"می نماید اهل ظن و دید را
"
1614,1,76,1,هین به ملك نوبتی شادی مكن,"ای تو بستۀ نوبت آزادی مكن 
"
1615,1,76,2,آن كه ملكش برتر از نوبت تنند,"برتر از هفت انجمش نوبت زنند
"
1616,1,76,3,برتر از نوبت ملوك باقی اند,"دور دایم روحها را ساقی اند
"
1617,1,76,4,* چون به نوبت میدهند این دولتت,"از چه شد بر باد آخر بسلتت ؟ 
"
1618,1,76,5,ترك این شرب ار بگوئی یك دو روز,"در كنی اندر شراب خلد پوز
"
1619,1,76,6,* یک دو روزه چه؟ که دنیا ساعتیست,"هر که ترکش کرد اندر راحتیست 
"
1620,1,76,7,* معنی الترک راحت گوش کن,"بعد از آن جام بقا را نوش کن 
"
1621,1,76,8,* با سگان بگذار این مردار را,"خورد بشکن شیشه پندار را 
"
1622,1,77,1,ای شهان  ُكشتیم ما خصم برون,"ماند خصمی زو بتر در اندرون 
"
1623,1,77,2,كشتن این، كار ِ عقل و هوش نیست,"شیر باطن سخرۀ خرگوش نیست 
"
1624,1,77,3,دوزخ است این نفس و، دوزخ اژدهاست,"كاو به دریاها نگردد كم ّ و كاست 
"
1625,1,77,4,هفت دریا را در آشامد هنوز,"كم نگردد سوزش آن خلق سوز
"
1626,1,77,5,سنگها و كافران ِ سنگ دل,"اندر آیند، اندر او، زار و خجل 
"
1627,1,77,6,هم نگردد ساكن از چندین غذا,"تا ز حق آید مر او را این ندا
"
1628,1,77,7,سیر گشتی سیر؟ گوید: نی هنوز,"اینت آتش اینت تابش اینت سوز
"
1629,1,77,8,عالمی را لقمه كرد و در كشید,"معده اش نعره زنان، هَلْ مِنْ مزید
"
1630,1,77,9,حق قدم بر وی نهد از لا مكان,"آنگه او ساكن شود از كن فكان 
"
1631,1,77,10,چون كه جزو دوزخ است این نفس ما,"طبع ِ  ُكلّ دارد همیشه  جزوها
"
1632,1,77,11,این قدم حق را بود كاو را  ُكشد,"غیر حق، خود كی كمان او كِشد ؟
"
1633,1,77,12,در كمان ننهند، الا تیر راست,"این كمان را باژگون  كژ تیرهاست 
"
1634,1,77,13,راست شو چون تیر و واره از كمان,"كز كمان، هر راست بجهد  بیگمان 
"
1635,1,77,14,چونكه واگشتم ز پیكار برون,"روی آوردم به پیكار درون 
"
1636,1,77,15,قد رجعنا من جهاد الاصغریم,"با نبی اندر جهاد اكبریم 
"
1637,1,77,16,قوتی خواهم ز حق دریا شکاف,"تا به ناخن برکنم این کوه قاف
"
1638,1,77,17,سهل شیری دان كه صفها بشكند,"شیر آن است آن كه خود را بشكند
"
1639,1,77,18,* تا شود شیر خدا از عون او,"وارهد از نفس و از فرعون او 
"
1640,1,77,19,* در بیان این شنو یک قصه ای,"تا بری از سِرّ گفتم حصه ای 
"
1641,1,78,1,بر عمر آمد ز قیصر یك رسول,"در مدینه از بیابان نغول 
"
1642,1,78,2,گفت: كو قصر خلیفه ای حشم ؟,"تا من اسب و رخت را آن جا كشم 
"
1643,1,78,3,قوم گفتندش كه: او را قصر نیست,"مر عمر را قصر، جان روشنی است 
"
1644,1,78,4,گر چه از میری ورا آوازه ایست,"همچو درویشان مر او را كازه ایست 
"
1645,1,78,5,ای برادر چون ببینی قصر او؟,"چون كه در چشم دلت رُسته است مو
"
1646,1,78,6,چشم دل از موی علت پاك آر,"و آنگهان دیدار قصرش چشم دار
"
1647,1,78,7,هر كه را هست از هوسها جان پاك,"زود بیند حضرت و ایوان پاك 
"
1648,1,78,8,چون محمد پاك شد از نار و دود,"هر كجا رو كرد وجه الله بود
"
1649,1,78,9,چون رفیقی وسوسۀ بد خواه را,"كی بدانی ثم وجه الله را ؟ 
"
1650,1,78,10,هر كه را باشد ز سینه فتح باب,"او ز هر ذره ببیند آفتاب 
"
1651,1,78,11,حق پدید است از میان دیگران,"همچو ماه اندر میان اختران 
"
1652,1,78,12,دو سر انگشت بر دو چشم نه,"هیچ بینی از جهان؟ انصاف ده 
"
1653,1,78,13,ور نبینی این جهان معدوم نیست,"عیب جز ز انگشت نفس شوم نیست 
"
1654,1,78,14,تو ز چشم انگشت را بردار هین,"و آنگهانی هر چه میخواهی ببین 
"
1655,1,78,15,نوح را گفتند امت: كو ثواب ؟,"گفت او: ز آن سوی استغشوا ثیاب 
"
1656,1,78,16,رو و سر در جامه ها پیچیده اید,"لا جرم با دیده و نادیده اید
"
1657,1,78,17,آدمی دید است و باقی پوست است,"دید آن است، آنكه دیدِ دوست است 
"
1658,1,78,18,چونكه دید دوست نبود كور به,"دوست كاو باقی نباشد دور به 
"
1659,1,78,19,چون رسول روم این الفاظ تر,"در سماع آورد شد مشتاق تر
"
1660,1,78,20,دیده را بر جستن عمّر گماشت,"رخت را و اسب را ضایع گذاشت 
"
1661,1,78,21,هر طرف اندر پی آن مرد كار,"می شدی پرسان او دیوانه وار
"
1662,1,78,22,كاین چنین مردی بود اندر جهان؟,"وز جهان مانند جان باشد نهان 
"
1663,1,79,1,جُست او را تا زجان بنده شود,"لا جرم جوینده یابنده بود
"
1664,1,79,2,دید اعرابی زنی او را دخیل,"گفت: نك خفته است زیر آن نخیل 
"
1665,1,79,3,زیر خرما بن ز خلقان او جدا,"زیر سایه خفته بین سایۀ خدا
"
1666,1,79,4,آمد آن جا و از او دور ایستاد,"مر عمر را دید و در لرزه فتاد
"
1667,1,79,5,هیبتی ز آن خفته آمد بر رسول,"حالتی خوش كرد بر جانش نزول 
"
1668,1,79,6,مهر و هیبت هست ضد یکدگر,"این دو ضد را دید جمع اندر جگر
"
1669,1,79,7,گفت با خود: من شهان را دیده ام,"پیش سلطانان مَهِ بگزیده ام 
"
1670,1,79,8,از شهانم هیبت و ترسی نبود,"هیبت این مرد هوشم در ربود
"
1671,1,79,9,رفته ام در بیشۀ شیر و پلنگ,"روی من ز یشان نگردانید رنگ 
"
1672,1,79,10,بس شدستم در مصاف و كارزار,"همچو شیر آن دم كه باشد، كار  زار
"
1673,1,79,11,بس كه خوردم بس زدم زخم گران,"دل قوی تر بوده ام از دیگران 
"
1674,1,79,12,بی سلاح این مرد خفته بر زمین,"من به هفت اندام لرزان، چیست این؟ 
"
1675,1,79,13,هیبت حق است این از خلق نیست,"هیبت این مرد صاحب دلق نیست 
"
1676,1,79,14,هر كه ترسید از حق و تقوی گزید,"ترسد از وی جن و انس و هر كه دید
"
1677,1,79,15,اندر این فكرت به حرمت دست بست,"بعد یك ساعت عمر از خواب جست 
"
1678,1,79,16,كرد خدمت مر عمر را و سلام,"گفت پیغمبر: سلام آنگه كلام 
"
1679,1,79,17,پس علیكش گفت و او را پیش خواند,"ایمنش كرد و به نزد خود نشاند
"
1680,1,79,18,هر كه ترسد مر ورا ایمن كنند,"مر دل ترسنده را ساكن كنند
"
1681,1,79,19,لا تخافوا هست نُزل خائفان,"هست در خور از برای خائف آن 
"
1682,1,79,20,آن كه خوفش نیست، چون گوئی مترس ؟,"درس چه دهی؟ نیست او محتاج درس
"
1683,1,80,1,آن دل از جا رفته را دل شاد كرد,"خاطر ویرانش را آباد كرد
"
1684,1,80,2,بعد از آن گفتش سخنهای دقیق,"وز صفات پاك حق نعم الرفیق 
"
1685,1,80,3,وز نوازشهای حق ابدال را,"تا بداند او مقام و حال را
"
1686,1,80,4,حال چون جلوه است ز آن زیبا عروس,"وین مقام آن خلوت آمد با عروس 
"
1687,1,80,5,جلوه بیند شاه و غیر شاه نیز,"وقت خلوت نیست جز شاه عزیز
"
1688,1,80,6,جلوه كرده خاص و عامان را عروس,"خلوت اندر شاه باشد با عروس 
"
1689,1,80,7,هست بسیار اهل حال از صوفیان,"نادر است اهل مقام اندر میان 
"
1690,1,80,8,از منازلهای جانش یاد داد,"وز سفرهای روانش یاد داد
"
1691,1,80,9,وز زمانی كز زمان خالی بُدست,"وز مقام قدس كه اجلالی بُدست 
"
1692,1,80,10,وز هوایی كاندر او سیمرغ روح,"پیش از این دیده است پرواز و فتوح 
"
1693,1,80,11,هر یكی پروازش از آفاق بیش,"وز امید و نهمت مشتاق بیش 
"
1694,1,80,12,چون عمر اغیار رو را یار یافت,"جان او را طالب اسرار یافت 
"
1695,1,80,13,شیخ كامل بود و طالب مشتهی,"مرد چابك بود و مركب درگهی 
"
1696,1,80,14,دید آن مرشد كه او ارشاد داشت,"تخم پاك اندر زمین پاك كاشت 
"
1697,1,81,1,مرد گفتش: كای امیر المؤمنین,"جان ز بالا چون در آمد در زمین ؟
"
1698,1,81,2,مرغ بی اندازه چون شد در قفس,"گفت: حق بر جان فسون خواند و قصص 
"
1699,1,81,3,بر عدمها كان ندارد چشم و گوش,"چون فسون خواند، همی آید به جوش 
"
1700,1,81,4,از فسون او عدمها زود زود,"خوش معلق میزند سوی وجود
"
1701,1,81,5,باز بر موجود افسونی چو خواند,"زود او را در عدم دو اسبه راند
"
1702,1,81,6,گفت با جسم آیتی تا جان شد او,"گفت با خورشید تا رخشان شد او
"
1703,1,81,7,باز در گوشش دمد نكتۀ مخوف,"در رخ خورشید افتد صد كسوف 
"
1704,1,81,8,* گفت با نی تا که شِکر گشت او,"گفت با آبی و گوهر گشت او 
"
1705,1,81,9,گفت در گوش  ُگل و خندانش كرد,"گفت با سنگ و عقیق كانش كرد
"
1706,1,81,10,تا به گوش خاك حق چه خوانده است ؟,"كاو مراقب گشت و خامش مانده است 
"
1707,1,81,11,تا به گوش ابر آن گویا چه خواند ؟,"كاو چو مشك از دیدۀ خود اشك راند
"
1708,1,81,12,در تردد هر كه او آشفته است,"حق به گوش او معما گفته است 
"
1709,1,81,13,تا كند محبوسش اندر دو گمان,"آن كنم كاو گفت یا خود ضد آن 
"
1710,1,81,14,هم ز حق ترجیح یابد یك طرف,"ز آن دو یك را بر گزیند ز آن كنف 
"
1711,1,81,15,گر نخواهی در تردد هوش جان,"كم فشار این پنبه اندر گوش جان 
"
1712,1,81,16,* پنبه وسواس بیرون کن ز گوش,"تا بگوشت آید از گردون خروش 
"
1713,1,81,17,تا كنی فهم آن معماهاش را,"تا كنی ادراك رمز و فاش را
"
1714,1,81,18,پس محل وحی گردد گوش جان,"وحی چه بود؟ گفتن از حس نهان 
"
1715,1,81,19,گوش جان و چشم جان جز این حس است,"گوش عقل و چشم ظن زین مفلس است 
"
1716,1,81,20,لفظ جبرم عشق را بی صبر كرد,"و آنكه عاشق نیست حبس جبر كرد
"
1717,1,81,21,این معیت با حق است و جبر نیست,"این تجلی مه است، این ابر نیست 
"
1718,1,81,22,ور بود این جبر، جبر عامه نیست,"جبر آن اماره  خودكامه نیست 
"
1719,1,81,23,جبر را ایشان شناسند ای پسر,"كه خدا بگشادشان در دل بصر
"
1720,1,81,24,غیب و آینده بر ایشان گشت فاش,"ذكر ماضی پیش ایشان گشت لاش 
"
1721,1,81,25,اختیار و جبر ایشان دیگر است,"قطره ها اندر صدفها گوهر است 
"
1722,1,81,26,هست بیرون قطرۀ خرد و بزرگ,"در صدف آن دُرّ، خرد است و سترگ 
"
1723,1,81,27,طبع ناف آهو است آن قوم را,"از برون خون و از درونشان مشكها
"
1724,1,81,28,تو مگو كاین نافه بیرون خون بود,"چون رود در ناف مشكی چون شود
"
1725,1,81,29,تو مگو كاین مس برون بد محتقر,"در دل اكسیر چون گشتست زر
"
1726,1,81,30,اختیار و جبر در تو بد خیال,"چون در ایشان رفت شد نور جلال 
"
1727,1,81,31,نان چو در سفره ست او باشد جماد,"در تن مردم شود او روح شاد
"
1728,1,81,32,در دل سفره نگردد مستحیل,"مستحیلش جان كند از سلسبیل 
"
1729,1,81,33,قوّت جان است این، ای راست خوان,"تا چه باشد قوّت آن جان جان
"
1730,1,81,34,* نانت قوت تن ولیکن درنگر,"تا که قوت جان چه باشد سربسر 
"
1731,1,81,35,گوشت پارۀ آدمی با عقل و جان,"می شكافد كوه را با بحر و كان 
"
1732,1,81,36,زور جان كوه كن، شق الحجر,"زور جان جان در انْشَقَّ القمر
"
1733,1,81,37,گر گشاید دل سر انبان راز,"جان به سوی عرش سازد ترك تاز
"
1734,1,81,38,گر زبان گوید ز اسرار نهان,"آتش افروزد بسوزد این جهان
"
1735,1,81,39,فعل حق و فعل ما هر دو ببین,"فعل ما را هست دان، پیداست این
"
1736,1,82,1,گر نباشد فعل خلق اندر میان,"پس مگو كس را چرا كردی چنان 
"
1737,1,82,2,خلق حق، افعال ما را موجد است,"فعل ما آثار خلق ایزد است 
"
1738,1,82,3,* لیک هست آن فعل ما مختار ما,"زو جزا، گه نار ما، گه یار ما 
"
1739,1,82,4,زانکه ناطق حرف بیند یا غرض,"كی شود یك دم محیط دو عرض 
"
1740,1,82,5,گر به معنی رفت شد غافل ز حرف,"پیش و پس یك دم نبیند هیچ طرف 
"
1741,1,82,6,آن زمان كه پیش بینی آن زمان,"تو پس خود كی ببینی این بدان 
"
1742,1,82,7,چون محیط حرف و معنی نیست جان,"چون بود جان خالق این هر دو آن 
"
